Team,Type,W,L,W%
New York Yankees,High 95,113,49,0.6971229029773324
New York Yankees,Yhat,94,68,0.5791508348003005
New York Yankees,Low 95,73,89,0.451391784243737
Boston Red Sox,High 95,112,50,0.6903097108541963
Boston Red Sox,Yhat,92,70,0.568909290390555
Boston Red Sox,Low 95,71,91,0.43860447508321115
Los Angeles Dodgers,High 95,98,64,0.6031899357904172
Los Angeles Dodgers,Yhat,78,84,0.48184526834776314
Los Angeles Dodgers,Low 95,59,103,0.36257383628602435
Atlanta Braves,High 95,110,52,0.6759357706983044
Atlanta Braves,Yhat,89,73,0.5469864653315387
Atlanta Braves,Low 95,67,95,0.41141149410893074
Chicago White Sox,High 95,107,55,0.6631309181581718
Chicago White Sox,Yhat,87,75,0.5395991654951108
Chicago White Sox,Low 95,67,95,0.4109850442677675
Chicago Cubs,High 95,103,59,0.6337588276638213
Chicago Cubs,Yhat,82,80,0.5063481180667019
Chicago Cubs,Low 95,61,101,0.3781267370676768
Cincinnati Reds,High 95,97,65,0.5996555959775656
Cincinnati Reds,Yhat,76,86,0.46930157502710707
Cincinnati Reds,Low 95,56,106,0.3430057064247533
Cleveland Indians,High 95,107,55,0.6597795834821607
Cleveland Indians,Yhat,87,75,0.5398905159887588
Cleveland Indians,Low 95,67,95,0.41520290211841326
Detroit Tigers,High 95,99,63,0.6123416404333796
Detroit Tigers,Yhat,77,85,0.4781903851439963
Detroit Tigers,Low 95,56,106,0.34712803728260444
Baltimore Orioles,High 95,97,65,0.5975406914102589
Baltimore Orioles,Yhat,75,87,0.4608825255639571
Baltimore Orioles,Low 95,53,109,0.3298605005868267
San Francisco Giants,High 95,105,57,0.6452591577930409
San Francisco Giants,Yhat,84,78,0.5157026460888929
San Francisco Giants,Low 95,62,100,0.38400281939438763
Oakland Athletics,High 95,110,52,0.6796514605085993
Oakland Athletics,Yhat,85,77,0.5264850815701201
Oakland Athletics,Low 95,60,102,0.36815398092158824
Philadelphia Phillies,High 95,104,58,0.6418283521245924
Philadelphia Phillies,Yhat,82,80,0.5090660802847002
Philadelphia Phillies,Low 95,61,101,0.3749987573800676
Pittsburgh Pirates,High 95,94,68,0.5809260643257367
Pittsburgh Pirates,Yhat,73,89,0.4522133835724837
Pittsburgh Pirates,Low 95,53,109,0.3295897805498374
St. Louis Cardinals,High 95,114,48,0.7054207810995475
St. Louis Cardinals,Yhat,95,67,0.5866456836360274
St. Louis Cardinals,Low 95,74,88,0.45686306291241796
Minnesota Twins,High 95,101,61,0.6228499190688468
Minnesota Twins,Yhat,79,83,0.4865224717296771
Minnesota Twins,Low 95,57,105,0.3521525192573164
