Team,Type,W,L,W%
New York Yankees,High 95,115,47,0.7113772743000163
New York Yankees,Yhat,96,66,0.5951939735136746
New York Yankees,Low 95,76,86,0.46728017650556
Boston Red Sox,High 95,108,54,0.6651192986761804
Boston Red Sox,Yhat,88,74,0.5407789590924602
Boston Red Sox,Low 95,67,95,0.41114500327908565
Los Angeles Dodgers,High 95,106,56,0.652238734177069
Los Angeles Dodgers,Yhat,86,76,0.5301980815823231
Los Angeles Dodgers,Low 95,66,96,0.40443697056391337
Atlanta Braves,High 95,101,61,0.6237049540327434
Atlanta Braves,Yhat,79,83,0.4900275808229384
Atlanta Braves,Low 95,58,104,0.3577621719921687
Chicago White Sox,High 95,108,54,0.6687569501181478
Chicago White Sox,Yhat,88,74,0.5462317025837579
Chicago White Sox,Low 95,68,94,0.41783925588641696
Chicago Cubs,High 95,95,67,0.5856267658422051
Chicago Cubs,Yhat,74,88,0.45496662056259274
Chicago Cubs,Low 95,53,109,0.3302261410478119
Cincinnati Reds,High 95,101,61,0.6232847577871827
Cincinnati Reds,Yhat,80,82,0.4945905726836428
Cincinnati Reds,Low 95,59,103,0.36661134341670054
Cleveland Indians,High 95,102,60,0.6303254155038255
Cleveland Indians,Yhat,82,80,0.5073702939661391
Cleveland Indians,Low 95,62,100,0.38351637029156754
Detroit Tigers,High 95,108,54,0.6660075774524779
Detroit Tigers,Yhat,87,75,0.535172909001068
Detroit Tigers,Low 95,65,97,0.39931020979215887
Baltimore Orioles,High 95,95,67,0.5847216531961289
Baltimore Orioles,Yhat,73,89,0.4479368847629014
Baltimore Orioles,Low 95,52,110,0.31859983273002157
San Francisco Giants,High 95,104,58,0.64095781937880425
San Francisco Giants,Yhat,83,79,0.5118823194475406
San Francisco Giants,Low 95,62,100,0.3812043974844829
Oakland Athletics,High 95,114,48,0.7026284723556434
Oakland Athletics,Yhat,89,73,0.5504841693213938
Oakland Athletics,Low 95,63,99,0.38826905476391543
Philadelphia Phillies,High 95,104,58,0.6418709255198753
Philadelphia Phillies,Yhat,83,79,0.509335576367912
Philadelphia Phillies,Low 95,61,101,0.3754748405355805
Pittsburgh Pirates,High 95,92,70,0.569432204559813
Pittsburgh Pirates,Yhat,71,91,0.44097188716163077
Pittsburgh Pirates,Low 95,52,110,0.31995626857008436
St. Louis Cardinals,High 95,110,52,0.6792207665824062
St. Louis Cardinals,Yhat,90,72,0.5552037237870231
St. Louis Cardinals,Low 95,69,93,0.42390758699328013
Minnesota Twins,High 95,108,54,0.668898017860094
Minnesota Twins,Yhat,87,75,0.5350191316184059
Minnesota Twins,Low 95,64,98,0.39589797088522694
Los Angeles Angels,High 95,97,65,0.6014883591604396
Los Angeles Angels,Yhat,80,82,0.4968488085877464
Los Angeles Angels,Low 95,64,98,0.3924671257613713
Texas Rangers,High 95,99,63,0.6122966101168837
Texas Rangers,Yhat,80,82,0.4965275724925447
Texas Rangers,Low 95,62,100,0.3812275209446617
Houston Astros,High 95,100,62,0.6200612520372173
Houston Astros,Yhat,84,78,0.5192920505350251
Houston Astros,Low 95,68,94,0.41692731370898517
New York Mets,High 95,113,49,0.6965569787808054
New York Mets,Yhat,92,70,0.5708018022299173
New York Mets,Low 95,71,91,0.43519521162410935
Kansas City Royals,High 95,82,80,0.5062718152254057
Kansas City Royals,Yhat,64,98,0.39719261210600004
Kansas City Royals,Low 95,48,114,0.2975011100310267
Washington Nationals,High 95,95,67,0.5884329589490392
Washington Nationals,Yhat,76,86,0.46678618579186104
Washington Nationals,Low 95,57,105,0.3489069125358686
San Diego Padres,High 95,99,63,0.6101653470050779
San Diego Padres,Yhat,79,83,0.485121809512603
San Diego Padres,Low 95,59,103,0.3618757721060726
Milwaukee Brewers,High 95,92,70,0.5694722506121054
Milwaukee Brewers,Yhat,76,86,0.46798030242581845
Milwaukee Brewers,Low 95,60,102,0.3690768622958313
Seattle Mariners,High 95,104,58,0.639362612178045
Seattle Mariners,Yhat,82,80,0.5072529887925539
Seattle Mariners,Low 95,61,101,0.3743980531751957
Toronto Blue Jays,High 95,106,56,0.6522995703493438
Toronto Blue Jays,Yhat,87,75,0.5383213611744027
Toronto Blue Jays,Low 95,68,94,0.4202502062959468
Colorado Rockies,High 95,90,72,0.5567715899963931
Colorado Rockies,Yhat,78,84,0.48104758777806855
Colorado Rockies,Low 95,66,96,0.4061855172972846
Miami Marlins,High 95,95,67,0.5893378358163283
Miami Marlins,Yhat,73,89,0.4528701446880865
Miami Marlins,Low 95,52,110,0.32312647407034667
Arizona Diamondbacks,High 95,119,43,0.7327840455102002
Arizona Diamondbacks,Yhat,90,72,0.5528716470397556
Arizona Diamondbacks,Low 95,58,104,0.35909315544009324
Tampa Bay Rays,High 95,65,97,0.4035730527913747
Tampa Bay Rays,Yhat,60,102,0.370349836812215
Tampa Bay Rays,Low 95,55,107,0.3384612623704682
