,feature,score
,fBodyAccJerk-maxInds-X,0.565
,fBodyGyro-maxInds-Y,0.536666667
,"tBodyAccJerk-correlation()-X,Y",0.5025
,"tBodyGyroJerk-correlation()-X,Y",0.495
,tGravityAcc-max()-Y,0.493333333
,"tBodyAcc-correlation()-X,Y",0.465
,"tBodyAcc-arCoeff()-Z,4",0.463333333
,"tBodyGyro-correlation()-X,Z",0.460833333
,fBodyGyro-meanFreq()-X,0.454166667
,fBodyGyro-maxInds-Z,0.444166667
,"tBodyAccJerk-correlation()-X,Z",0.4375
,"tBodyGyro-correlation()-Y,Z",0.426666667
,fBodyGyro-skewness()-Z,0.423333333
,"tBodyGyro-arCoeff()-X,3",0.420833333
,"angle(Z,gravityMean)",0.395833333
,"tGravityAcc-arCoeff()-X,2",0.3925
,"tBodyGyroJerk-arCoeff()-Z,4",0.388333333
,"tBodyGyroJerk-arCoeff()-X,3",0.386666667
,fBodyBodyAccJerkMag-skewness(),0.36
,tGravityAcc-entropy()-Z,0.351666667
,tBodyAcc-entropy()-X,0.3475
,fBodyAccMag-energy(),0.333333333
,fBodyAcc-kurtosis()-X,0.323333333
,tBodyGyroMag-min(),0.319166667
,"tGravityAcc-correlation()-Y,Z",0.3175
,"tBodyGyroJerk-arCoeff()-Y,4",0.309166667
,tBodyAccJerk-max()-Z,0.303333333
,"tGravityAcc-arCoeff()-X,3",0.3025
,"fBodyGyro-bandsEnergy()-9,16_2",0.3
,"tBodyAccJerk-arCoeff()-Z,2",0.299166667
,tBodyGyroJerk-entropy()-X,0.299166667
,tBodyAccJerkMag-arCoeff()4,0.2925
,"tBodyAcc-correlation()-Y,Z",0.2875
,"tBodyGyro-correlation()-X,Y",0.280833333
,"tBodyGyro-arCoeff()-Z,4",0.2775
,tGravityAcc-entropy()-X,0.274166667
,"tBodyGyro-arCoeff()-X,1",0.274166667
,"tBodyAccJerk-arCoeff()-Z,4",0.2725
,fBodyAccJerk-meanFreq()-Z,0.271666667
,"tBodyGyro-arCoeff()-Y,1",0.266666667
,tGravityAcc-sma(),0.265833333
,"tGravityAcc-correlation()-X,Z",0.263333333
,fBodyAcc-skewness()-X,0.260833333
,"tGravityAcc-arCoeff()-Y,4",0.2575
,fBodyAccMag-maxInds,0.256666667
,fBodyBodyGyroMag-kurtosis(),0.256666667
,fBodyAcc-iqr()-Y,0.255833333
,"tGravityAcc-arCoeff()-Y,2",0.2525
,tBodyAccJerk-entropy()-X,0.2525
,"tBodyGyroJerk-arCoeff()-Z,2",0.2525
,fBodyGyro-min()-X,0.251666667
,"fBodyAccJerk-bandsEnergy()-9,16_2",0.250833333
,tBodyGyroJerk-sma(),0.25
,tGravityAccMag-arCoeff()1,0.25
,fBodyAccMag-skewness(),0.248333333
,fBodyAcc-skewness()-Y,0.2475
,fBodyGyro-max()-Z,0.245833333
,tBodyGyro-entropy()-X,0.240833333
,fBodyAcc-max()-Y,0.24
,tBodyAccMag-arCoeff()1,0.239166667
,fBodyAcc-maxInds-X,0.238333333
,fBodyAcc-meanFreq()-Z,0.238333333
,"tBodyGyro-arCoeff()-Y,4",0.235833333
,"tBodyGyroJerk-correlation()-X,Z",0.235833333
,tGravityAcc-entropy()-Y,0.235
,"tBodyGyroJerk-arCoeff()-X,1",0.234166667
,tGravityAcc-iqr()-Z,0.233333333
,fBodyAccJerk-maxInds-Z,0.233333333
,fBodyBodyGyroJerkMag-kurtosis(),0.233333333
,tBodyAccJerk-min()-X,0.231666667
,"tGravityAcc-arCoeff()-X,1",0.2275
,fBodyAcc-kurtosis()-Y,0.225833333
,"fBodyAcc-bandsEnergy()-1,8",0.225833333
,fBodyGyro-kurtosis()-Z,0.225
,tBodyAccJerkMag-arCoeff()2,0.223333333
,fBodyAccMag-std(),0.223333333
,fBodyBodyGyroMag-maxInds,0.221666667
,"angle(tBodyGyroJerkMean,gravityMean)",0.220833333
,tBodyGyroJerk-max()-X,0.220833333
,fBodyBodyGyroJerkMag-skewness(),0.22
,tBodyGyro-std()-Z,0.219166667
,"tBodyAccJerk-arCoeff()-Y,4",0.2175
,tGravityAccMag-min(),0.216666667
,"tBodyGyroJerk-arCoeff()-Y,2",0.215
,tBodyAcc-mean()-X,0.2125
,tBodyGyroMag-arCoeff()1,0.2125
,"fBodyGyro-bandsEnergy()-25,32_2",0.211666667
,fBodyAccMag-meanFreq(),0.206666667
,"tBodyAccJerk-arCoeff()-X,4",0.204166667
,fBodyAccJerk-maxInds-Y,0.203333333
,tBodyAccMag-arCoeff()2,0.198333333
,"tBodyGyroJerk-arCoeff()-X,4",0.196666667
,fBodyBodyAccJerkMag-kurtosis(),0.196666667
,fBodyGyro-skewness()-Y,0.195
,"tBodyAccJerk-correlation()-Y,Z",0.194166667
,fBodyGyro-entropy()-Y,0.193333333
,tGravityAcc-mean()-Y,0.1925
,fBodyGyro-maxInds-X,0.19
,tGravityAcc-min()-Y,0.186666667
,tBodyGyro-mad()-Z,0.185833333
,tBodyAccJerkMag-mean(),0.185
,fBodyGyro-kurtosis()-Y,0.185
,fBodyGyro-meanFreq()-Z,0.184166667
,tGravityAcc-energy()-Y,0.183333333
,tGravityAcc-std()-X,0.181666667
,tBodyGyroJerkMag-arCoeff()4,0.181666667
,tGravityAccMag-arCoeff()4,0.180833333
,"tGravityAcc-arCoeff()-Z,2",0.18
,tBodyGyroJerk-mean()-X,0.18
,fBodyAcc-maxInds-Y,0.179166667
,"tBodyAcc-arCoeff()-Y,3",0.175833333
,tBodyAcc-mad()-X,0.175
,tBodyAccJerk-mean()-Z,0.175
,fBodyAcc-meanFreq()-Y,0.175
,"tBodyGyro-arCoeff()-Z,1",0.173333333
,"fBodyGyro-bandsEnergy()-1,8_1",0.173333333
,tGravityAcc-min()-X,0.1725
,fBodyAccJerk-mad()-Y,0.1725
,"tGravityAcc-arCoeff()-Y,3",0.17
,"tGravityAcc-arCoeff()-Z,1",0.17
,fBodyGyro-max()-Y,0.17
,"tBodyAccJerk-arCoeff()-X,3",0.168333333
,tBodyAcc-min()-X,0.1675
,"tBodyGyroJerk-arCoeff()-Z,3",0.1675
,fBodyGyro-entropy()-X,0.1675
,tBodyAccJerk-max()-X,0.166666667
,tBodyGyroJerk-mad()-X,0.166666667
,fBodyAccJerk-meanFreq()-X,0.166666667
,fBodyAccJerk-kurtosis()-Z,0.166666667
,fBodyGyro-skewness()-X,0.165833333
,tBodyAcc-iqr()-Z,0.165
,tBodyGyroJerk-iqr()-Z,0.165
,"fBodyAcc-bandsEnergy()-1,24_1",0.165
,fBodyAccJerk-skewness()-Z,0.165
,tBodyGyro-energy()-X,0.164166667
,"fBodyAcc-bandsEnergy()-41,48_1",0.164166667
,"fBodyAccJerk-bandsEnergy()-1,16_1",0.164166667
,tBodyGyroJerk-mean()-Z,0.163333333
,fBodyAccJerk-max()-Y,0.1625
,fBodyAccJerk-meanFreq()-Y,0.1625
,"fBodyGyro-bandsEnergy()-25,48",0.1625
,tBodyAcc-entropy()-Z,0.161666667
,tBodyGyro-entropy()-Z,0.160833333
,fBodyAcc-mean()-X,0.159166667
,"fBodyAcc-bandsEnergy()-17,24",0.159166667
,"tBodyGyro-arCoeff()-Y,2",0.1575
,"fBodyAcc-bandsEnergy()-1,8_1",0.1575
,fBodyAcc-energy()-Y,0.155
,"fBodyAcc-bandsEnergy()-1,16",0.154166667
,"angle(tBodyGyroMean,gravityMean)",0.153333333
,"fBodyAccJerk-bandsEnergy()-9,16",0.1525
,tGravityAcc-std()-Y,0.151666667
,"angle(tBodyAccJerkMean),gravityMean)",0.151666667
,fBodyAccJerk-std()-Z,0.148333333
,fBodyGyro-entropy()-Z,0.148333333
,fBodyAcc-kurtosis()-Z,0.1475
,"tBodyGyro-arCoeff()-X,4",0.146666667
,tBodyGyroMag-arCoeff()2,0.145833333
,"fBodyAcc-bandsEnergy()-1,16_1",0.145
,"tBodyAcc-arCoeff()-X,4",0.144166667
,tBodyGyroJerk-mean()-Y,0.144166667
,"tBodyGyroJerk-arCoeff()-Y,1",0.144166667
,tBodyGyroMag-entropy(),0.144166667
,"tBodyAccJerk-arCoeff()-X,2",0.143333333
,"fBodyGyro-bandsEnergy()-1,16",0.143333333
,"fBodyAccJerk-bandsEnergy()-49,56_1",0.1425
,"tBodyGyroJerk-correlation()-Y,Z",0.139166667
,fBodyGyro-min()-Z,0.139166667
,"fBodyAccJerk-bandsEnergy()-1,24_2",0.138333333
,"tGravityAcc-arCoeff()-Y,1",0.1375
,fBodyAcc-skewness()-Z,0.136666667
,tBodyAccJerk-energy()-Y,0.135833333
,tBodyGyroJerkMag-arCoeff()2,0.134166667
,tBodyGyro-sma(),0.1325
,tBodyAcc-energy()-X,0.1325
,tBodyAcc-sma(),0.13
,"tBodyAcc-arCoeff()-X,2",0.13
,"tBodyGyroJerk-arCoeff()-X,2",0.13
,fBodyAccMag-iqr(),0.13
,"tBodyAccJerk-arCoeff()-Z,3",0.13
,fBodyAcc-mad()-Y,0.129166667
,fBodyAcc-meanFreq()-X,0.129166667
,"tBodyGyro-arCoeff()-X,2",0.1275
,fBodyGyro-max()-X,0.1275
,"fBodyGyro-bandsEnergy()-17,32_2",0.1275
,tBodyAccJerk-entropy()-Z,0.126666667
,"tBodyAcc-arCoeff()-X,3",0.125833333
,"tBodyAcc-arCoeff()-Y,4",0.125
,"tGravityAcc-correlation()-X,Y",0.125
,"fBodyGyro-bandsEnergy()-25,32_1",0.125
,fBodyAcc-energy()-Z,0.124166667
,"angle(Y,gravityMean)",0.124166667
,tBodyGyro-energy()-Z,0.123333333
,fBodyAccJerk-max()-Z,0.123333333
,tBodyAccMag-min(),0.1225
,"fBodyGyro-bandsEnergy()-17,24_1",0.121666667
,tBodyAcc-mean()-Z,0.12
,"tBodyAccJerk-arCoeff()-Y,1",0.12
,fBodyGyro-std()-Y,0.12
,fBodyAcc-maxInds-Z,0.119166667
,"fBodyGyro-bandsEnergy()-9,16",0.118333333
,tBodyAccJerkMag-iqr(),0.118333333
,tBodyAcc-iqr()-Y,0.1175
,fBodyBodyAccJerkMag-maxInds,0.1175
,tBodyGyro-mean()-Z,0.116666667
,tGravityAcc-std()-Z,0.116666667
,tBodyAccJerk-mean()-X,0.116666667
,"fBodyAcc-bandsEnergy()-49,56",0.116666667
,fBodyAccJerk-skewness()-X,0.116666667
,"fBodyAccJerk-bandsEnergy()-17,32_2",0.116666667
,"tBodyAccJerk-arCoeff()-X,1",0.115833333
,tBodyAccMag-arCoeff()3,0.115
