stock,n_test,n_train,accuracy,method,time,ahead
AAPL,120,250,0.5166666666666667,KNN,3,1
AAPL,120,250,0.5,NB,3,1
AAPL,120,250,0.5166666666666667,LDA,3,1
AAPL,120,250,0.5416666666666666,RF,3,1
AAPL,120,250,0.5833333333333334,SVM,3,1
AAPL,120,250,0.49166666666666664,RG,3,1
AAPL,120,250,0.5333333333333333,KNN,5,1
AAPL,120,250,0.55,NB,5,1
AAPL,120,250,0.4583333333333333,LDA,5,1
AAPL,120,250,0.5416666666666666,RF,5,1
AAPL,120,250,0.49166666666666664,SVM,5,1
AAPL,120,250,0.525,RG,5,1
AAPL,120,250,0.48333333333333334,KNN,10,1
AAPL,120,250,0.475,NB,10,1
AAPL,120,250,0.5583333333333333,LDA,10,1
AAPL,120,250,0.525,RF,10,1
AAPL,120,250,0.55,SVM,10,1
AAPL,120,250,0.45,RG,10,1
AAPL,120,250,0.48333333333333334,KNN,20,1
AAPL,120,250,0.5,NB,20,1
AAPL,120,250,0.4166666666666667,LDA,20,1
AAPL,120,250,0.4083333333333333,RF,20,1
AAPL,120,250,0.425,SVM,20,1
AAPL,120,250,0.36666666666666664,RG,20,1
AAPL,120,250,0.44166666666666665,KNN,3,5
AAPL,120,250,0.5083333333333333,NB,3,5
AAPL,120,250,0.43333333333333335,LDA,3,5
AAPL,120,250,0.4666666666666667,RF,3,5
AAPL,120,250,0.4083333333333333,SVM,3,5
AAPL,120,250,0.45,RG,3,5
AAPL,120,250,0.5333333333333333,KNN,5,5
AAPL,120,250,0.525,NB,5,5
AAPL,120,250,0.475,LDA,5,5
AAPL,120,250,0.5083333333333333,RF,5,5
AAPL,120,250,0.5166666666666667,SVM,5,5
AAPL,120,250,0.5083333333333333,RG,5,5
AAPL,120,250,0.475,KNN,10,5
AAPL,120,250,0.44166666666666665,NB,10,5
AAPL,120,250,0.475,LDA,10,5
AAPL,120,250,0.4,RF,10,5
AAPL,120,250,0.5,SVM,10,5
AAPL,120,250,0.5083333333333333,RG,10,5
AAPL,120,250,0.4583333333333333,KNN,20,5
AAPL,120,250,0.5083333333333333,NB,20,5
AAPL,120,250,0.48333333333333334,LDA,20,5
AAPL,120,250,0.5333333333333333,RF,20,5
AAPL,120,250,0.49166666666666664,SVM,20,5
AAPL,120,250,0.5,RG,20,5
AAPL,120,250,0.5333333333333333,KNN,3,10
AAPL,120,250,0.55,NB,3,10
AAPL,120,250,0.49166666666666664,LDA,3,10
AAPL,120,250,0.5333333333333333,RF,3,10
AAPL,120,250,0.4666666666666667,SVM,3,10
AAPL,120,250,0.5083333333333333,RG,3,10
AAPL,120,250,0.4583333333333333,KNN,5,10
AAPL,120,250,0.4666666666666667,NB,5,10
AAPL,120,250,0.49166666666666664,LDA,5,10
AAPL,120,250,0.5166666666666667,RF,5,10
AAPL,120,250,0.525,SVM,5,10
AAPL,120,250,0.5166666666666667,RG,5,10
AAPL,120,250,0.49166666666666664,KNN,10,10
AAPL,120,250,0.5,NB,10,10
AAPL,120,250,0.49166666666666664,LDA,10,10
AAPL,120,250,0.525,RF,10,10
AAPL,120,250,0.45,SVM,10,10
AAPL,120,250,0.475,RG,10,10
AAPL,120,250,0.425,KNN,20,10
AAPL,120,250,0.43333333333333335,NB,20,10
AAPL,120,250,0.575,LDA,20,10
AAPL,120,250,0.48333333333333334,RF,20,10
AAPL,120,250,0.5333333333333333,SVM,20,10
AAPL,120,250,0.5166666666666667,RG,20,10
AAPL,120,250,0.5166666666666667,KNN,3,20
AAPL,120,250,0.5166666666666667,NB,3,20
AAPL,120,250,0.5083333333333333,LDA,3,20
AAPL,120,250,0.475,RF,3,20
AAPL,120,250,0.48333333333333334,SVM,3,20
AAPL,120,250,0.5166666666666667,RG,3,20
AAPL,120,250,0.525,KNN,5,20
AAPL,120,250,0.45,NB,5,20
AAPL,120,250,0.43333333333333335,LDA,5,20
AAPL,120,250,0.5416666666666666,RF,5,20
AAPL,120,250,0.43333333333333335,SVM,5,20
AAPL,120,250,0.5583333333333333,RG,5,20
AAPL,120,250,0.4166666666666667,KNN,10,20
AAPL,120,250,0.39166666666666666,NB,10,20
AAPL,120,250,0.44166666666666665,LDA,10,20
AAPL,120,250,0.43333333333333335,RF,10,20
AAPL,120,250,0.44166666666666665,SVM,10,20
AAPL,120,250,0.39166666666666666,RG,10,20
AAPL,120,250,0.575,KNN,20,20
AAPL,120,250,0.45,NB,20,20
AAPL,120,250,0.44166666666666665,LDA,20,20
AAPL,120,250,0.55,RF,20,20
AAPL,120,250,0.425,SVM,20,20
AAPL,120,250,0.39166666666666666,RG,20,20
AAPL,240,250,0.49583333333333335,KNN,3,1
AAPL,240,250,0.5333333333333333,NB,3,1
AAPL,240,250,0.5333333333333333,LDA,3,1
AAPL,240,250,0.5291666666666667,RF,3,1
AAPL,240,250,0.5416666666666666,SVM,3,1
AAPL,240,250,0.49166666666666664,RG,3,1
AAPL,240,250,0.5333333333333333,KNN,5,1
AAPL,240,250,0.5375,NB,5,1
AAPL,240,250,0.49583333333333335,LDA,5,1
AAPL,240,250,0.4875,RF,5,1
AAPL,240,250,0.5208333333333334,SVM,5,1
AAPL,240,250,0.5,RG,5,1
AAPL,240,250,0.5166666666666667,KNN,10,1
AAPL,240,250,0.5,NB,10,1
AAPL,240,250,0.4791666666666667,LDA,10,1
AAPL,240,250,0.5125,RF,10,1
AAPL,240,250,0.475,SVM,10,1
AAPL,240,250,0.4791666666666667,RG,10,1
AAPL,240,250,0.4708333333333333,KNN,20,1
AAPL,240,250,0.4708333333333333,NB,20,1
AAPL,240,250,0.48333333333333334,LDA,20,1
AAPL,240,250,0.44583333333333336,RF,20,1
AAPL,240,250,0.48333333333333334,SVM,20,1
AAPL,240,250,0.4666666666666667,RG,20,1
AAPL,240,250,0.525,KNN,3,5
AAPL,240,250,0.5041666666666667,NB,3,5
AAPL,240,250,0.49166666666666664,LDA,3,5
AAPL,240,250,0.44166666666666665,RF,3,5
AAPL,240,250,0.45,SVM,3,5
AAPL,240,250,0.5708333333333333,RG,3,5
AAPL,240,250,0.5041666666666667,KNN,5,5
AAPL,240,250,0.525,NB,5,5
AAPL,240,250,0.4583333333333333,LDA,5,5
AAPL,240,250,0.5041666666666667,RF,5,5
AAPL,240,250,0.5166666666666667,SVM,5,5
AAPL,240,250,0.4875,RG,5,5
AAPL,240,250,0.5208333333333334,KNN,10,5
AAPL,240,250,0.5125,NB,10,5
AAPL,240,250,0.49583333333333335,LDA,10,5
AAPL,240,250,0.4791666666666667,RF,10,5
AAPL,240,250,0.475,SVM,10,5
AAPL,240,250,0.49166666666666664,RG,10,5
AAPL,240,250,0.48333333333333334,KNN,20,5
AAPL,240,250,0.49583333333333335,NB,20,5
AAPL,240,250,0.5333333333333333,LDA,20,5
AAPL,240,250,0.4666666666666667,RF,20,5
AAPL,240,250,0.5458333333333333,SVM,20,5
AAPL,240,250,0.4625,RG,20,5
AAPL,240,250,0.4875,KNN,3,10
AAPL,240,250,0.5041666666666667,NB,3,10
AAPL,240,250,0.5083333333333333,LDA,3,10
AAPL,240,250,0.43333333333333335,RF,3,10
AAPL,240,250,0.5541666666666667,SVM,3,10
AAPL,240,250,0.4875,RG,3,10
AAPL,240,250,0.525,KNN,5,10
AAPL,240,250,0.5166666666666667,NB,5,10
AAPL,240,250,0.5166666666666667,LDA,5,10
AAPL,240,250,0.5083333333333333,RF,5,10
AAPL,240,250,0.5333333333333333,SVM,5,10
AAPL,240,250,0.4875,RG,5,10
AAPL,240,250,0.5083333333333333,KNN,10,10
AAPL,240,250,0.5041666666666667,NB,10,10
AAPL,240,250,0.5791666666666667,LDA,10,10
AAPL,240,250,0.525,RF,10,10
AAPL,240,250,0.5916666666666667,SVM,10,10
AAPL,240,250,0.5416666666666666,RG,10,10
AAPL,240,250,0.5083333333333333,KNN,20,10
AAPL,240,250,0.55,NB,20,10
AAPL,240,250,0.4666666666666667,LDA,20,10
AAPL,240,250,0.5083333333333333,RF,20,10
AAPL,240,250,0.5208333333333334,SVM,20,10
AAPL,240,250,0.49583333333333335,RG,20,10
AAPL,240,250,0.5125,KNN,3,20
AAPL,240,250,0.49583333333333335,NB,3,20
AAPL,240,250,0.5125,LDA,3,20
AAPL,240,250,0.55,RF,3,20
AAPL,240,250,0.5,SVM,3,20
AAPL,240,250,0.5166666666666667,RG,3,20
AAPL,240,250,0.5125,KNN,5,20
AAPL,240,250,0.4791666666666667,NB,5,20
AAPL,240,250,0.4625,LDA,5,20
AAPL,240,250,0.4375,RF,5,20
AAPL,240,250,0.44166666666666665,SVM,5,20
AAPL,240,250,0.45,RG,5,20
AAPL,240,250,0.5708333333333333,KNN,10,20
AAPL,240,250,0.49166666666666664,NB,10,20
AAPL,240,250,0.525,LDA,10,20
AAPL,240,250,0.4875,RF,10,20
AAPL,240,250,0.5208333333333334,SVM,10,20
AAPL,240,250,0.5541666666666667,RG,10,20
AAPL,240,250,0.525,KNN,20,20
AAPL,240,250,0.4125,NB,20,20
AAPL,240,250,0.5041666666666667,LDA,20,20
AAPL,240,250,0.5208333333333334,RF,20,20
AAPL,240,250,0.5375,SVM,20,20
AAPL,240,250,0.4875,RG,20,20
AAPL,480,250,0.5583333333333333,KNN,3,1
AAPL,480,250,0.54375,NB,3,1
AAPL,480,250,0.5020833333333333,LDA,3,1
AAPL,480,250,0.525,RF,3,1
AAPL,480,250,0.5416666666666666,SVM,3,1
AAPL,480,250,0.5083333333333333,RG,3,1
AAPL,480,250,0.475,KNN,5,1
AAPL,480,250,0.46041666666666664,NB,5,1
AAPL,480,250,0.4791666666666667,LDA,5,1
AAPL,480,250,0.47291666666666665,RF,5,1
AAPL,480,250,0.4875,SVM,5,1
AAPL,480,250,0.5041666666666667,RG,5,1
AAPL,480,250,0.5458333333333333,KNN,10,1
AAPL,480,250,0.5229166666666667,NB,10,1
AAPL,480,250,0.5354166666666667,LDA,10,1
AAPL,480,250,0.5041666666666667,RF,10,1
AAPL,480,250,0.5145833333333333,SVM,10,1
AAPL,480,250,0.4625,RG,10,1
AAPL,480,250,0.5229166666666667,KNN,20,1
AAPL,480,250,0.50625,NB,20,1
AAPL,480,250,0.48541666666666666,LDA,20,1
AAPL,480,250,0.47708333333333336,RF,20,1
AAPL,480,250,0.46875,SVM,20,1
AAPL,480,250,0.46458333333333335,RG,20,1
AAPL,480,250,0.55,KNN,3,5
AAPL,480,250,0.5479166666666667,NB,3,5
AAPL,480,250,0.5541666666666667,LDA,3,5
AAPL,480,250,0.5375,RF,3,5
AAPL,480,250,0.5333333333333333,SVM,3,5
AAPL,480,250,0.5104166666666666,RG,3,5
AAPL,480,250,0.55,KNN,5,5
AAPL,480,250,0.53125,NB,5,5
AAPL,480,250,0.4708333333333333,LDA,5,5
AAPL,480,250,0.4875,RF,5,5
AAPL,480,250,0.44583333333333336,SVM,5,5
AAPL,480,250,0.46458333333333335,RG,5,5
AAPL,480,250,0.46458333333333335,KNN,10,5
AAPL,480,250,0.46458333333333335,NB,10,5
AAPL,480,250,0.5,LDA,10,5
AAPL,480,250,0.5125,RF,10,5
AAPL,480,250,0.55,SVM,10,5
AAPL,480,250,0.4875,RG,10,5
