stock,n_test,n_train,return,standard_error,method,time,ahead
AAPL,120,250,0.11435046426093076,0.08735982847959332,KNN,3,1
AAPL,120,250,0.11619298261995215,0.27582266131691935,NB,3,1
AAPL,120,250,0.03246390831898949,0.32332312715153616,LDA,3,1
AAPL,120,250,0.06730534180489012,0.38403836211462405,RF,3,1
AAPL,120,250,0.105622071670193,0.24027864769901053,SVM,3,1
AAPL,120,250,0.07256984215025764,0.6901632453405774,RG,3,1
AAPL,120,250,0.12067983094203782,0.08389920719824441,KNN,5,1
AAPL,120,250,0.1535374948283068,0.16488705511417562,NB,5,1
AAPL,120,250,0.021124609122632476,0.10799424988120324,LDA,5,1
AAPL,120,250,0.09202885997051857,0.11058822123120572,RF,5,1
AAPL,120,250,0.029181051453427198,0.1978338033037067,SVM,5,1
AAPL,120,250,0.014886102360602615,0.2492052238616889,RG,5,1
AAPL,120,250,-0.0114263980316206,0.08433694914043459,KNN,10,1
AAPL,120,250,-0.03564128084896312,0.159149323984997,NB,10,1
AAPL,120,250,0.06548736510458086,0.18933059793260829,LDA,10,1
AAPL,120,250,0.14245497460915169,0.20272105479172797,RF,10,1
AAPL,120,250,0.043839132189449126,0.36318125010865376,SVM,10,1
AAPL,120,250,-0.034125803443052494,0.25168452753009346,RG,10,1
AAPL,120,250,0.055724410474969455,0.06691699319501607,KNN,20,1
AAPL,120,250,0.07902261738647054,0.14410159465394087,NB,20,1
AAPL,120,250,-0.02995295717660118,0.1253449081597788,LDA,20,1
AAPL,120,250,-0.021914410035813736,0.18265841853373824,RF,20,1
AAPL,120,250,-0.014659168158499547,0.3048231016301385,SVM,20,1
AAPL,120,250,-0.005767583658691899,0.26711017615243554,RG,20,1
AAPL,120,250,-0.01825186139592072,0.04874566690425917,KNN,3,5
AAPL,120,250,0.05965967465709143,0.06166937813108298,NB,3,5
AAPL,120,250,-0.0030977043606668087,0.07840963455734452,LDA,3,5
AAPL,120,250,0.02637182602499344,0.10452405517349098,RF,3,5
AAPL,120,250,-0.01922493312248308,0.14173277781820337,SVM,3,5
AAPL,120,250,0.02983293483853333,0.09126513579581699,RG,3,5
AAPL,120,250,0.06370000715867485,0.04854901998661344,KNN,5,5
AAPL,120,250,0.06407262037863282,0.08523756686542903,NB,5,5
AAPL,120,250,0.03700592523611679,0.08276579405824912,LDA,5,5
AAPL,120,250,0.06021510119199003,0.13038114894197209,RF,5,5
AAPL,120,250,0.05779971067586631,0.23865564505051548,SVM,5,5
AAPL,120,250,0.048010704910144586,0.2042577530439005,RG,5,5
AAPL,120,250,0.036782977537640926,0.04632778811994469,KNN,10,5
AAPL,120,250,-0.01662599144171606,0.08685373857831566,NB,10,5
AAPL,120,250,0.04107550645416436,0.07282446063007077,LDA,10,5
AAPL,120,250,-0.027900650691675244,0.0815284352762454,RF,10,5
AAPL,120,250,0.05588262923129328,0.18423948550869873,SVM,10,5
AAPL,120,250,0.03720350811069628,0.1821418054860095,RG,10,5
AAPL,120,250,0.013479021892495835,0.039263915492466425,KNN,20,5
AAPL,120,250,0.02624805408307429,0.07297742379940872,NB,20,5
AAPL,120,250,0.040970637387453435,0.12549265389041,LDA,20,5
AAPL,120,250,0.06223927751088043,0.15446603485958205,RF,20,5
AAPL,120,250,0.04337729549343061,0.19137955726515032,SVM,20,5
AAPL,120,250,0.0018513431217368481,0.07179920651538008,RG,20,5
AAPL,120,250,0.07156777114928214,0.026913112569221295,KNN,3,10
AAPL,120,250,0.084852656394234,0.06768630967323107,NB,3,10
AAPL,120,250,0.054276595958703266,0.07456339817128588,LDA,3,10
AAPL,120,250,0.05520594909527876,0.08424015129736073,RF,3,10
AAPL,120,250,0.036878440890924624,0.09313955727044834,SVM,3,10
AAPL,120,250,0.0386826786185428,0.13126100290718404,RG,3,10
AAPL,120,250,0.022422390602855113,0.017551902826647366,KNN,5,10
AAPL,120,250,0.011374624448790005,0.03320638673841976,NB,5,10
AAPL,120,250,0.05432646977622202,0.04822197087715125,LDA,5,10
AAPL,120,250,0.056469376727007026,0.08141530250309323,RF,5,10
AAPL,120,250,0.05032262014397637,0.1280009570772643,SVM,5,10
AAPL,120,250,0.06114506938739228,0.19597810761213072,RG,5,10
AAPL,120,250,0.04096074218718071,0.03242504418440791,KNN,10,10
AAPL,120,250,0.061320295743602315,0.03504558949882467,NB,10,10
AAPL,120,250,0.04806295235003466,0.03546333368224171,LDA,10,10
AAPL,120,250,0.025626743445096967,0.08053571289941965,RF,10,10
AAPL,120,250,0.051015089835667826,0.10450846624109902,SVM,10,10
AAPL,120,250,0.027809187016207382,0.14600271972985973,RG,10,10
AAPL,120,250,-0.008893045445313441,0.024879575400485854,KNN,20,10
AAPL,120,250,-0.004687759019434745,0.017238916345057677,NB,20,10
AAPL,120,250,0.06294190330499516,0.07461161143123145,LDA,20,10
AAPL,120,250,0.017130576042084122,0.0691223745395769,RF,20,10
AAPL,120,250,0.04707359117966381,0.1016306625349615,SVM,20,10
AAPL,120,250,0.04894350860027763,0.050853011944245505,RG,20,10
AAPL,120,250,0.057018028381859986,0.03486787235467867,KNN,3,20
AAPL,120,250,0.05579730613353062,0.023139941973468445,NB,3,20
AAPL,120,250,0.047613698248555325,0.03191681554150929,LDA,3,20
AAPL,120,250,0.06571775185727602,0.05973787227092205,RF,3,20
AAPL,120,250,0.046773297891068655,0.12021190101085392,SVM,3,20
AAPL,120,250,0.06535190615617648,0.10642968346658593,RG,3,20
AAPL,120,250,0.07763434729095686,0.012533939313504477,KNN,5,20
AAPL,120,250,0.0470032159770859,0.05140067093524337,NB,5,20
AAPL,120,250,0.025677734587695733,0.041784430511841615,LDA,5,20
AAPL,120,250,0.07265387348358265,0.1141442871891968,RF,5,20
AAPL,120,250,0.03160561704166098,0.08044715557544121,SVM,5,20
AAPL,120,250,0.08999204529887694,0.07959484564371443,RG,5,20
AAPL,120,250,0.024374513854649615,0.02357816314575719,KNN,10,20
AAPL,120,250,0.03332414050540633,0.03503074753135258,NB,10,20
AAPL,120,250,0.03281633789375382,0.027158642346025216,LDA,10,20
AAPL,120,250,0.034915455709035204,0.07351180055306114,RF,10,20
AAPL,120,250,0.035122771585214485,0.05971001405238814,SVM,10,20
AAPL,120,250,0.02935187256841587,0.047259218246709,RG,10,20
AAPL,120,250,0.08938490561539547,0.032808435485547495,KNN,20,20
AAPL,120,250,0.03915372999312128,0.03661900597610002,NB,20,20
AAPL,120,250,0.018325884017132754,0.07500936345232999,LDA,20,20
AAPL,120,250,0.08000466432079123,0.024867399433448956,RF,20,20
AAPL,120,250,0.026810516730440215,0.04186376501403215,SVM,20,20
AAPL,120,250,0.03278249626884877,0.10465725232668495,RG,20,20
AAPL,240,250,0.04178605141964664,0.05316395583737987,KNN,3,1
AAPL,240,250,0.07714220226777546,0.25786170612899195,NB,3,1
AAPL,240,250,0.029031368499215837,0.12907787245885824,LDA,3,1
AAPL,240,250,0.024842127627767496,0.3517386286365933,RF,3,1
AAPL,240,250,0.09709897489957275,0.2995007758068336,SVM,3,1
AAPL,240,250,0.04830050228158567,0.8285178042344813,RG,3,1
AAPL,240,250,0.13299142141703357,0.09841491732096048,KNN,5,1
AAPL,240,250,0.1365200481655251,0.07528619813214574,NB,5,1
AAPL,240,250,0.0874859058834927,0.19724334429875542,LDA,5,1
AAPL,240,250,0.07765537612658946,0.36629145293650245,RF,5,1
AAPL,240,250,0.13754993188692488,0.3335489244327442,SVM,5,1
AAPL,240,250,-0.06347965923721677,0.5004080538134871,RG,5,1
AAPL,240,250,0.07856453004791653,0.105279124936665,KNN,10,1
AAPL,240,250,-0.003521245365827319,0.15776866558199,NB,10,1
AAPL,240,250,0.08406466854848182,0.3244255800655994,LDA,10,1
AAPL,240,250,0.051487640546068913,0.3571390797938197,RF,10,1
AAPL,240,250,-0.016559737629399995,0.30253148609517067,SVM,10,1
AAPL,240,250,0.044509301470286866,0.268460446297732,RG,10,1
AAPL,240,250,-0.009101072007998923,0.0583054405123435,KNN,20,1
AAPL,240,250,-0.021483412062273,0.14785172218369577,NB,20,1
AAPL,240,250,-0.033530564166074917,0.20401811121885574,LDA,20,1
AAPL,240,250,-0.09798381117184918,0.2298121341167543,RF,20,1
AAPL,240,250,-0.04021745533669574,0.2698448544744698,SVM,20,1
AAPL,240,250,-0.0941796205717782,0.14369726227181662,RG,20,1
AAPL,240,250,0.10379816745920278,0.057219333474963,KNN,3,5
AAPL,240,250,0.05765766712225573,0.08040677038650798,NB,3,5
AAPL,240,250,0.09671410386266088,0.13422976548292337,LDA,3,5
AAPL,240,250,-0.016879930156707856,0.153126742348998,RF,3,5
AAPL,240,250,0.03251127073611615,0.13348705518594853,SVM,3,5
AAPL,240,250,0.17387437279326767,0.2485553529567827,RG,3,5
AAPL,240,250,0.07340945124856968,0.07991436504796685,KNN,5,5
AAPL,240,250,0.09997850273466713,0.0420242952654904,NB,5,5
AAPL,240,250,0.007898835540164573,0.1090106142640112,LDA,5,5
AAPL,240,250,0.07008809764647861,0.25121077225197097,RF,5,5
AAPL,240,250,0.07367454824109698,0.2643920412523018,SVM,5,5
AAPL,240,250,0.0788981387531209,0.19704283287029323,RG,5,5
AAPL,240,250,0.10063530666463882,0.09257223325820922,KNN,10,5
AAPL,240,250,0.09613047361552529,0.08555167074029373,NB,10,5
AAPL,240,250,0.08244059364826972,0.15996645850785937,LDA,10,5
AAPL,240,250,0.10404371015206726,0.16965250683362698,RF,10,5
AAPL,240,250,0.06546434928901967,0.2195471723377225,SVM,10,5
AAPL,240,250,0.004058705868171586,0.2527144671069369,RG,10,5
AAPL,240,250,0.045132338431613794,0.09814466602049617,KNN,20,5
AAPL,240,250,0.07723926246396529,0.10442521784499824,NB,20,5
AAPL,240,250,0.09918548269199468,0.12951296338885243,LDA,20,5
AAPL,240,250,0.0578630570398182,0.13849672515345676,RF,20,5
AAPL,240,250,0.1341256655704608,0.23635156881306177,SVM,20,5
AAPL,240,250,0.06871038104821148,0.22736903620440646,RG,20,5
AAPL,240,250,0.0643150345101724,0.05258186299531933,KNN,3,10
AAPL,240,250,0.12211577197501522,0.11697612759189821,NB,3,10
AAPL,240,250,0.13682470698759053,0.13075527956272723,LDA,3,10
AAPL,240,250,0.06097854585910456,0.08484197701709416,RF,3,10
AAPL,240,250,0.18947778434565477,0.14174969305959154,SVM,3,10
AAPL,240,250,0.12468882718075447,0.28346231108281317,RG,3,10
AAPL,240,250,0.090135928080608,0.05080305699552207,KNN,5,10
AAPL,240,250,0.10484846203414921,0.09310419391560923,NB,5,10
AAPL,240,250,0.10754967880592292,0.10565762370246717,LDA,5,10
AAPL,240,250,0.08863216376027427,0.19430446297339884,RF,5,10
AAPL,240,250,0.11686365268132004,0.4323747116041472,SVM,5,10
AAPL,240,250,0.11272210022467721,0.2189581464198333,RG,5,10
AAPL,240,250,0.08498671133943292,0.02785716956500499,KNN,10,10
AAPL,240,250,0.0627863639820454,0.06978585665427446,NB,10,10
AAPL,240,250,0.16584386897061743,0.1485091410288426,LDA,10,10
AAPL,240,250,0.07415981511457015,0.12854119946382703,RF,10,10
AAPL,240,250,0.17653865696532778,0.13312754568060375,SVM,10,10
AAPL,240,250,0.15198798261483892,0.30554193567596566,RG,10,10
AAPL,240,250,0.05292966494225504,0.023911054357299396,KNN,20,10
AAPL,240,250,0.1460306882988187,0.022060972992096722,NB,20,10
AAPL,240,250,0.06180161442898324,0.1496333875184909,LDA,20,10
AAPL,240,250,0.08380546796374966,0.2043522485071391,RF,20,10
AAPL,240,250,0.12997754195776268,0.10851103111922802,SVM,20,10
AAPL,240,250,0.1188435662480889,0.19244273432828832,RG,20,10
AAPL,240,250,0.1245989864172714,0.03627007134533458,KNN,3,20
AAPL,240,250,0.12185278602492255,0.01283148838059093,NB,3,20
AAPL,240,250,0.11303372150294022,0.08792429451176915,LDA,3,20
AAPL,240,250,0.12100573421024263,0.05164519399057247,RF,3,20
AAPL,240,250,0.10603875074794411,0.1434900500318913,SVM,3,20
