stock,n_test,n_train,accuracy,method,time,ahead,return
AAPL,120,250,0.5833333333333334,SVM,3,1,0.105622071670193
GOOG,120,250,0.6333333333333333,RG,10,20,0.11183352481199238
MSFT,120,250,0.6166666666666667,NB,3,1,0.16659267698748215
AMZN,120,250,0.75,NB,20,20,0.4213189526301835
IBM,120,250,0.6083333333333333,SVM,10,1,-0.022783247473348145
FB,120,250,0.7,NB,20,5,0.170974229740406
AAPL,240,250,0.5916666666666667,SVM,10,10,0.17653865696532778
GOOG,240,250,0.5833333333333334,SVM,3,10,0.2181712242122047
MSFT,240,250,0.6208333333333333,KNN,10,20,0.25535842010761334
AMZN,240,250,0.5958333333333333,NB,3,20,0.4028277473367121
IBM,240,250,0.5833333333333334,KNN,5,10,0.025349757902912717
FB,240,250,0.6416666666666667,NB,10,10,0.2224312302485716
AAPL,480,250,0.5666666666666667,KNN,3,10,0.447966000535134
GOOG,480,250,0.5854166666666667,LDA,10,1,0.6409875378226624
MSFT,480,250,0.5854166666666667,SVM,5,10,0.42411009486967655
AMZN,480,250,0.5666666666666667,RF,3,20,0.6774923620955438
IBM,480,250,0.5395833333333333,SVM,3,20,0.06524747575709156
FB,480,250,0.58125,NB,20,5,0.44388174671090774
AAPL,960,250,0.55,KNN,10,10,0.4655814022020919
GOOG,960,250,0.55,RG,20,5,0.8158461639898835
MSFT,960,250,0.5614583333333333,NB,5,5,0.8593382495493451
AMZN,960,250,0.559375,SVM,20,20,1.6603529790336577
IBM,960,250,0.5489583333333333,RG,20,5,0.08457631090756879
FB,960,250,0.5589155370177268,RF,20,10,0.8881108351593834
AAPL,1920,250,0.5369791666666667,KNN,5,5,1.7005534096537143
GOOG,1920,250,0.5255208333333333,KNN,3,5,1.2439995644495583
MSFT,1920,250,0.5466388744137571,KNN,5,20,1.534231762499259
AMZN,1920,250,0.5549765502866076,RF,3,20,3.883724279483033
IBM,1920,250,0.5328125,NB,10,10,0.3678945761448482
