stock,n_test,n_train,accuracy,method,time,ahead,return
AAPL,120,250,0.36666666666666664,RG,20,1,-0.005767583658691899
GOOG,120,250,0.4,NB,20,20,0.03206355016105045
MSFT,120,250,0.39166666666666666,RF,10,5,0.03950272405370159
AMZN,120,250,0.2833333333333333,NB,20,10,0.05524771136771123
IBM,120,250,0.3416666666666667,NB,20,5,-0.06487853535303556
FB,120,250,0.36666666666666664,NB,3,5,-0.129474879040113
AAPL,240,250,0.4125,NB,20,20,0.032716356479773
GOOG,240,250,0.4166666666666667,RG,20,10,0.025977894856026973
MSFT,240,250,0.4041666666666667,KNN,3,20,0.11422211439060881
AMZN,240,250,0.31666666666666665,KNN,20,20,0.08869515656741322
IBM,240,250,0.37916666666666665,NB,20,10,-0.1189210652873488
FB,240,250,0.3541666666666667,KNN,20,10,-0.048641031560492154
AAPL,480,250,0.4395833333333333,LDA,20,20,0.18535624323764366
GOOG,480,250,0.43125,RF,20,10,0.06789427255920266
MSFT,480,250,0.43125,NB,10,10,0.21589125468666337
AMZN,480,250,0.3729166666666667,KNN,20,20,0.26967722771916747
IBM,480,250,0.43125,KNN,20,10,-0.07920072471696282
FB,480,250,0.4395833333333333,NB,3,5,-0.07400932023604889
AAPL,960,250,0.4635416666666667,RG,10,1,-0.440218091299475
GOOG,960,250,0.434375,NB,10,5,-0.2020936537998912
MSFT,960,250,0.46041666666666664,RF,5,1,-0.1613058375813874
AMZN,960,250,0.4322916666666667,NB,10,20,0.8643130824404572
IBM,960,250,0.45729166666666665,KNN,5,20,-0.10996940366245167
FB,960,250,0.44629822732012514,KNN,10,20,0.4156926861905266
AAPL,1920,250,0.45231891610213654,KNN,5,20,0.8030983816247794
GOOG,1920,250,0.4679520583637311,KNN,10,5,0.37801702069710075
MSFT,1920,250,0.47420531526836895,RF,5,10,0.7294063565422608
AMZN,1920,250,0.4679520583637311,KNN,3,10,1.0963116568018685
IBM,1920,250,0.47628973423658155,NB,3,20,0.0896888413074115
